,Rating,MovieName
448,2.5," உளவு அதிகாரியாக அதிரடி செய்திருக்கிறார். அவருக்கு காதலி ஆண்ட்ரியாவும், மனைவி பூஜா குமாரும் தங்கள் உயிரை துச்சமென மதித்து உதவுவதும் அவர்களுடனான ரொமான்ஸும், கமலின் தேசப்பற்றும்தான் விஸ்வரூபம் - 2"
449,2.75,Unknown
450,2.25,Unknown
451,2.5,Unknown
452,3.25,Unknown
453,2.75,Unknown
454,3.0,Unknown
455,2.5,பாக்கணும் போல இருக்கு
456,2.5,Unknown
457,2.75,Unknown
458,3.0,Unknown
459,3.0,ஆக்கம்
460,3.25,Unknown
461,3.0,Unknown
462,2.5,Unknown
463,2.75,Unknown
464,2.75,Unknown
465,3.5,Unknown
466,2.75,Unknown
467,2.5,மணியார் குடும்பம்
468,2.5, வீரா
469,2.0,சண்டிக் குதிரை
470,3.5,நிசப்தம்
471,3.0,மகளிர் மட்டும்.
472,3.5,மரகத நாணயம்
473,3.75,Unknown
474,3.75,Unknown
475,4.5,அறம்
476,2.0,Unknown
477,2.5,நெஞ்சில் துணிவிருந்தால் 
478,2.75,Unknown
479,1.0,இந்திரக் கோபை 
